tool,demonstrates,schema_role,arm,models,n,honored_of_served,dist
get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,input,huggingface,11,220,92%,honored:196/invalid:14/dropped:4/error:6
get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,input,direct,14,280,86%,honored:240/invalid:40
get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,input,direct+strict,6,120,0%,rejected:120
get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,input,direct-responses,6,120,100%,honored:120
get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,input,direct-responses+strict,6,120,0%,rejected:120
lookup-record,top-level oneOf,input,huggingface,11,220,80%,honored:173/invalid:43/error:4
lookup-record,top-level oneOf,input,direct,14,280,29%,honored:80/rejected:200
lookup-record,top-level oneOf,input,direct+strict,6,120,0%,rejected:120
lookup-record,top-level oneOf,input,direct-responses,6,120,100%,honored:120
lookup-record,top-level oneOf,input,direct-responses+strict,6,120,0%,rejected:120
create-payment,nested oneOf + const + pattern,input,huggingface,11,220,100%,honored:218/invalid:1/error:1
create-payment,nested oneOf + const + pattern,input,direct,14,280,93%,honored:260/invalid:20
create-payment,nested oneOf + const + pattern,input,direct+strict,6,120,0%,rejected:120
create-payment,nested oneOf + const + pattern,input,direct-responses,6,120,100%,honored:120
create-payment,nested oneOf + const + pattern,input,direct-responses+strict,6,120,0%,rejected:120
create-shipment,$ref + $defs,input,huggingface,11,220,95%,honored:210/invalid:10
create-shipment,$ref + $defs,input,direct,14,280,100%,honored:278/error:2
create-shipment,$ref + $defs,input,direct+strict,6,120,0%,rejected:120
create-shipment,$ref + $defs,input,direct-responses,6,120,100%,honored:120
create-shipment,$ref + $defs,input,direct-responses+strict,6,120,0%,rejected:120
register-address,if / then,input,huggingface,11,220,100%,honored:220
register-address,if / then,input,direct,14,280,100%,honored:280
register-address,if / then,input,direct+strict,6,120,0%,rejected:120
register-address,if / then,input,direct-responses,6,120,100%,honored:120
register-address,if / then,input,direct-responses+strict,6,120,0%,rejected:120
plot-point,prefixItems,input,huggingface,11,220,89%,honored:196/invalid:24
plot-point,prefixItems,input,direct,14,280,93%,honored:260/rejected:20
plot-point,prefixItems,input,direct+strict,6,120,0%,rejected:120
plot-point,prefixItems,input,direct-responses,6,120,100%,honored:120
plot-point,prefixItems,input,direct-responses+strict,6,120,0%,rejected:120
